Feature,Importance
det_LT_entropy_log_7_coef,0.0
det_LT_entropy_log_8_coef,0.0
det_LT_entropy_log_9_coef,0.0
det_LT_entropy_log_10_coef,0.0
det_LT_TKEO_mean_2_coef,0.0
det_LT_TKEO_mean_3_coef,0.0
det_LT_TKEO_mean_4_coef,0.0
det_LT_entropy_shannon_9_coef,0.0
app_det_TKEO_mean_6_coef,0.0
app_det_TKEO_mean_7_coef,0.0
det_LT_TKEO_mean_6_coef,0.0
det_LT_TKEO_mean_7_coef,0.0
det_LT_TKEO_mean_10_coef,0.0
det_LT_TKEO_std_2_coef,0.0
det_LT_TKEO_std_7_coef,0.0
tqwt_meanValue_dec_14,0.0
tqwt_medianValue_dec_29,0.0
Ed2_9_coef,0.0
Ed2_10_coef,0.0
app_TKEO_std_6_coef,0.0
app_TKEO_std_8_coef,0.0
app_TKEO_std_9_coef,0.0
app_TKEO_std_10_coef,0.0
Ea2,0.0
Ed2_2_coef,0.0
tqwt_meanValue_dec_27,0.0
tqwt_maxValue_dec_27,0.0
det_TKEO_std_3_coef,0.0
det_TKEO_std_4_coef,0.0
Ed2_4_coef,0.0
Ed2_5_coef,0.0
Ed2_7_coef,0.0
Ed2_8_coef,0.0
tqwt_stdValue_dec_7,0.0
tqwt_stdValue_dec_8,0.0
tqwt_stdValue_dec_9,0.0
tqwt_stdValue_dec_10,0.0
tqwt_stdValue_dec_3,0.0
tqwt_stdValue_dec_4,0.0
det_LT_entropy_shannon_3_coef,0.0
tqwt_stdValue_dec_13,0.0
tqwt_stdValue_dec_14,0.0
tqwt_stdValue_dec_15,0.0
tqwt_stdValue_dec_16,0.0
tqwt_stdValue_dec_17,0.0
tqwt_stdValue_dec_18,0.0
tqwt_maxValue_dec_5,0.0
tqwt_maxValue_dec_10,0.0
tqwt_minValue_dec_33,0.0
tqwt_maxValue_dec_3,0.0
tqwt_maxValue_dec_4,0.0
tqwt_minValue_dec_25,0.0
tqwt_stdValue_dec_30,0.0
tqwt_stdValue_dec_31,0.0
tqwt_stdValue_dec_34,0.0
tqwt_stdValue_dec_35,0.0
tqwt_stdValue_dec_36,0.0
tqwt_stdValue_dec_22,0.0
tqwt_skewnessValue_dec_7,0.0
app_det_TKEO_mean_3_coef,0.0
tqwt_minValue_dec_10,0.0
tqwt_minValue_dec_14,0.0
tqwt_minValue_dec_15,0.0
tqwt_minValue_dec_3,0.0
tqwt_entropy_log_dec_14,0.0
apq5Shimmer,0.0
tqwt_stdValue_dec_29,0.0
app_det_TKEO_mean_8_coef,0.0
app_det_TKEO_mean_9_coef,0.0
app_det_TKEO_mean_10_coef,0.0
app_TKEO_std_1_coef,0.0
app_TKEO_std_2_coef,0.0
app_TKEO_std_4_coef,0.0
app_entropy_log_10_coef,0.0
det_TKEO_std_6_coef,0.0
det_TKEO_std_7_coef,0.0
det_TKEO_std_8_coef,0.0
det_TKEO_std_9_coef,0.0
app_entropy_shannon_2_coef,0.0
